년도,분류,형태,제목,1저자,공저자,초록,키워드
2014,Citizen Activation Through eHealth,,Elderly People’s Interaction with Advanced Technology,Helena Bla?un,"Janez Vo?ner, Peter Kokol, Kaija Saranto and Sari Rissanen",Aging of population is an inevitable process by which the number of elderly people is increasing. Rapid development of information and communication technology (ICT) is changing basic needs of elderly people; therefore society should ensure opportunities for elderly to learn and use ICT in a way to manage their daily life activities and in this way enable them participation in the information and knowledge society. The purpose of the study was to find out whether elderly are acquainted with the advanced technology and to what extent they use it or they desire to use it. Within the single point study we interviewed 100 randomly selected elderly people from different geographical regions in Slovenia. Results showed the differences in the use of advanced technology by Slovenian regions; therefore in the future activities should be focused on organizing promotional and demonstrational activities including ICT courses to increase elderly’s motivation for ICT interaction.,"Elderly people, Information and communication technology (ICT), Advanced technology, Computer, World Wide Web (Internet)"
,,,Promoting the Meaningful Use of Health Information for New Zealand Consumers,Michelle Honey,"Dianne Roy, Janine Bycroft, Mary-Anne Boyd and Deborah Raphael","A cornerstone of ‘meaningful use’ of health information is engaging consumers and their families. Yet for consumers to be engaged requires an informed population and therefore focus on consumer’s health information needs. Reports indicated consumers want health information, yet little was known about their internet use or perception of electronic health information. This New Zealand study surveyed consumers to gain an understanding of their health information requirements. Some 1783 questionnaires were available for descriptive statistical analyses. The internet was the third most preferred source of health information. Two thirds of participants had used the internet to access health information, because of the speed of access and to find information before going to the doctor. There was little awareness or use of existing New Zealand-based on-line health resources. Study implications include promoting existing resources and increasing the use of electronic communication between consumers and healthcare providers as these are currently underutilized.","Health information, Consumer, Internet, Survey"
,,,Comparison of Consumer Derived Evidence with an Omaha System Evidence-Based Practice Guideline for Community Dwelling Older Adults,Lisiane Pruinelli,"Helen Fu, Karen A. Monsen and Bonnie L. Westra","Consumer involvement in healthcare is critical to support continuity of care for consumers to manage their health while transitioning from one care setting to another. Validation of evidence-based practice (EBP) guideline by consumers is essential to achieving consumer health goals over time that is consistent with their needs and preferences. The purpose of this study was to compare an Omaha System EBP guideline for community dwelling older adults with consumer-derived evidence of their ongoing needs, resources, and strategies after home care discharge. All identified problems were relevant for all patients except for Neglect and Substance use. Ten additional problems were identified from the interviews, five of which affected at least 10% of the participants. Consumer derived evidence both validated and expanded EBP guidelines; thus further emphasizing the importance of consumer involvement in the delivery of home healthcare.",Evidence-based practice guidelines; nursing care/problems; home care; consumer-derived
,,,Toward a Typology of Technology Users: How Older People Experience Technology’s Potential for Active Aging,Edith Roth Gjevjon,"Tone Øderud, Gro H. Wensaas and Anne Moen","This paper outlines an emerging typology of older users of information and communication technology (ICT) to facilitate active aging. Through inductive data analysis from focus groups, iterative workshops, and personal interviews, we suggest three types of technology users. These types are “the Excluded,” “the Entertained,” and “the Networker.” Clearly, ICT offers several benefits to those who are enthusiastic and frequent users, exemplified as the Entertained and the Networker. Hence, our findings support the notion of technology as a tool to maintain or increase an older person’s engagement and activity level. Conversely, for those reluctant, uninterested, or incapable of using ICT, such potentials are limited and imply fewer opportunities for participation in activities.","Active aging, technology, tablets, user experience, older users, user types"
,Revolutionising Learning with Technology,,Attitudes of Student Nurses Enrolled in E-Learning Course Towards Academic Dishonesty: A Descriptive-Exploratory Study,Jude L. Tayaben,,"The author investigated attitudes of nursing students enrolled in e-Learning towards academic dishonesty. The descriptive- exploratory design was used in the conduct of the study. Respondents were randomly selected 36 junior and senior nursing students. It revealed that nursing students perceived as neutral (mean= 2.77, mean= 3.17) in taking responsibility for promoting academic integrity in e- learning. The paraphrasing a sentence from internet source without referencing it (38.89%) got the most form of cheating. Female and level four (4) nursing students revealed as the most cheaters. The reasons not to cheat, nursing students considered punishment, and education or learning (91.67%) got the highest in ranks, and simply wrong (75%) got the lowest rank. Hence, there is a need to look on how to maintain academic honesty among nursing students in and out of the university with respect to e- learning as a means of teaching- learning method.","Attitudes of student nurses, e- Learning course, academic dishonesty, academic- integrity,responsibility"
,,,Relationship Between Nursing Students’ Preference for Types of Teaching Materials and Learning Effects of Self-Learning Tool,Yasuko Kitajima,"Masako Yamashita, Mitsuhiro Nakamura, Jukai Maeda, Kyouko Aida, Masako Kanai-Pak, Zhifeng Huang, Ayanori Nagata, Taiki Ogata, Noriaki Kuwahara and Jun Ota","The purpose of this study was to investigate the relationship between learning effects of the self-learning tool for nursing students and types of teaching materials. Ten nursing students were asked to perform transfer a patient from bed to wheelchair after watching the demo video and practicing 20 minutes. The students’ performance was evaluated before and after practicing. The students were also asked to choose teaching materials that would be developed in the future. Out of nine teaching materials, the students chose seven of them. Correspondence analysis was conducted between the results of the evaluation of students’ transfer technique and their preference of teaching materials. The results indicated that there was no relationship between the preference of teaching materials and the scores of transfer techniques. The authors concluded that the self-learning was not affected by the preference of teaching materials.","Self-learning tool, learning effects, teaching materials"
,,,A Virtual Platform for Electronic Health Record (EHR) Education for Nursing Students: Moving from In-House Solutions to the Cloud,Andre W. Kushniruk,"Mu-Hsing Kuo, Eric Parapini and Elizabeth M. Borycki","There is a need to develop cost effective ways to bring hands-on education about essential information technologies, such as electronic health record (EHR) systems to nursing students, nursing faculty and practitioners. This is especially the case as worldwide there is an increased deployment of these systems and they are transforming the practice of healthcare. However, due to technical, financial and knowledge limitations, many nursing schools and programs do not have an adequate way to bring such technology into their classes and curricula. In this paper we describe an approach to developing Web-based EHR education that allows students from any Web-accessible location to access and work with real EHR systems remotely over the Internet for learning purposes. In this paper we describe our work in moving this approach to a cloud-based solution to allow access to EHRs for educational purposes from any location with Web access and to do so in a way that is both educationally sound and cost effective.","electronic health records, nursing education, medical education, health informatics education, cloud computing"
,,,Infusing Informatics into Interprofessional Education: The iTEAM (Interprofessional Technology Enhanced Advanced Practice Model) Project,Diane J. Skiba,"Amy J. Barton, Sarah Knapfel, Gina Moore and Katy Trinkley","The iTEAM goal is to prepare advanced practice nurses, physicians and pharmacists with the interprofessional (IP) core competencies (informatics, patient centric, quality-focused, evidence based care) to provide technology enhanced collaborative care by: offering technology enhanced learning opportunities through a required informatics course, advanced practice courses (team based experiences with both standardized and virtual patients) and team based clinical experiences including e-health experiences. The innovative features of iTEAM project will be achieved through use of social media strategies, a web accessible Electronic Health Records (EHRs) system, a Virtual Clinic/Hospital in Second Life, various e-health applications including traditional telehealth tools and consumer oriented tools such as patient portals, social media consumer groups and mobile health (mhealth) applications for health and wellness functions. It builds upon the schools’ rich history of IP education and includes clinical partners, such as the VA and other clinical sites focused on care for underserved patient populations.","Informatics education, interprofessional education"
,Infrastructures to Support Big Data,,A Cloud Computing Based Platform for Sleep Behavior and Chronic Diseases Collaborative Research,Mu-Hsing Kuo,"Elizabeth Borycki, Andre Kushniruk, Yueh-Min Huang and Shu-Hui Hung","The objective of this study is to propose a Cloud Computing based platform for sleep behavior and chronic disease collaborative research. The platform consists of two main components: (1) a sensing bed sheet with textile sensors to automatically record patient’s sleep behaviors and vital signs, and (2) a service-oriented cloud computing architecture (SOCCA) that provides a data repository and allows for sharing and analysis of collected data. Also, we describe our systematic approach to implementing the SOCCA. We believe that the new cloud-based platform can provide nurse and other health professional researchers located in differing geographic locations with a cost effective, flexible, secure and privacy-preserved research environment.","Cloud Computing, Service Oriented Architecture, Health Information Technology, Sleep Behavior"
,,,Using a Data Mining Approach to Discover Behavior Correlates of Chronic Disease: A Case Study of Depression,Sunmoo Yoon,Basirah Taha and Suzanne Bakken,"The purposes of this methodological paper are: 1) to describe data mining methods for building a classification model for a chronic disease using a U.S. behavior risk factor data set, and 2) to illustrate application of the methods using a case study of depressive disorder. Methods described include: 1) six steps of data mining to build a disease model using classification techniques, 2) an innovative approach to analyzing high-dimensionality data, and 3) a visualization strategy to communicate with clinicians who are unfamiliar with advanced statistics. Our application of data mining strategies identified childhood experience living with mentally ill and sexual abuse, and limited usual activity as the strongest correlates of depression among hundreds variables. The methods that we applied may be useful to others wishing to build a classification model from complex, large volume datasets for other health conditions.","Data mining, knowledge discovery, depression, modeling, classification, high-dimensional data"
