년도,분류,형태,제목,1저자,공저자,초록,키워드
2021,Data Analytics and the Use of Nursing Data,Paper,Analyzing the Scientific Community Focused on Nursing Informatics Using Publication Data,Ulrich Schrader,,"The scientific community focused on nursing informatics can be described as a graph with the authors as vertices and the author-coauthor relationship as the connecting edges. Methods to describe and analyze networks like average path length, diameter, centrality measures, or partitioning into subcommunities are applied to the nursing informatics community. It is shown that the community consists of one large connected subnet with many small disjoint subnets, each representing one or several authors. The interconnectivity of the large subnet is quite high indicating an information flow along several different paths. Using different centrality measures important authors for e.g. the information flow can be identified. While each small disjoint subnet represents a small sub-community, the large central subnet can also be partitioned into subcommunities connected with each other. Some seem to be focused on specific aspects of nursing informatics.","Data analytics, publications, Pubmed, scientific community"
2021,Data Analytics and the Use of Nursing Data,Paper,"Data Exploration of Social Determinants of Health, Health Access and Quality in a Global Health Setting",Grace Gao,"Christie L Martin, Michelle Wang, Matthew Byrne and Joyce Brettner","Diseases have no borders, and global health operates from both within and beyond. Global health informatics can adopt an assets-oriented approach to mitigate concerns by maximizing global health data, principles, and resources combined with geographic information systems’ use case mapping. This exploratory study utilizes an assets-oriented approach to analyze four global social determinants of health indicators, including Skilled Birth Attendance, Measles Immunization Coverage, Education (Female), and the Healthcare Access and Quality Index in relation to countries’ income and geographical region. Data were extracted and analyzed from two publicly available datasets. Positive trends and variations were detected among all variables aggregated by countries’ income category and geographical region. These findings pinpoint potential health assets that the discipline of nursing can leverage to build healthier global health communities.","Social determinants of health, global health informatics, health assets, data analytics, nursing informatics"
2021,Data Analytics and the Use of Nursing Data,Paper,Identifying Heart Failure Symptoms and Poor Self-Management in Home Healthcare: A Natural Language Processing Study,Sena Chae,"Jiyoun Song, Marietta Ojo and Maxim Topaz","The goal of this natural language processing (NLP) study was to identify patients in home healthcare with heart failure symptoms and poor self-management (SM). The preliminary lists of symptoms and poor SM status were identified, NLP algorithms were used to refine the lists, and NLP performance was evaluated using 2.3 million home healthcare clinical notes. The overall precision to identify patients with heart failure symptoms and poor SM status was 0.86. The feasibility of methods was demonstrated to identify patients with heart failure symptoms and poor SM documented in home healthcare notes. This study facilitates utilizing key symptom information and patients’ SM status from unstructured data in electronic health records. The results of this study can be applied to better individualize symptom management to support heart failure patients’ quality-of-life.","Natural language processing, heart Failure, symptoms, self-management, health behavior, self-care"
2021,Data Analytics and the Use of Nursing Data,Paper,The Clinical Nursing and Midwifery Dashboard (CNMD): A State-Wide Implementation,Ahmad Abdel-Hafez,"Don Baker, Michelle Winning and Alan Scanlon","The clinical nursing and midwifery dashboard (CNMD) was built to provide a near real-time information and data visualisations for nurse unit managers (NUMs) and maternity unit managers (MUMs) within only a 5-15 minutes delay from when they enter data to the integrated electronic medical records (ieMR) system. The dashboard displays metrics and information about current adult inpatients in overnight wards. The aim is to support NUMs and MUMs to manage their daily workload and have continuous visibility of patients nursing risk and safety assessment documentation. A quantitative evaluation approach was conducted to measure the impact of the dashboard on key performance indicators. Statistical analysis was completed to compare risk assessment average completion times prior to and post CNMD implementation. The results of the evaluation were positive, and the statistical analysis shows significant reduction in the average time to complete different risk assessments with p-value<0.01.","Dashboard, data analysis, visualisation, risk assessments, nursing unit manager, maternity unit managers, Waterlow, falls, skin assessment, malnutrition"
2021,Data Analytics and the Use of Nursing Data,Paper,Unpacking Peer Conversations in a Virtual Communitiy for Diabetes Self-Management Education and Support: Behavior Science and Linguistics Perspective,Carlos A P?rez-Aldana,"Allison A Lewinski, Constance M Johnson, Allison A Vorderstrasse and Sahiti Myneni","Diabetes is a chronic disease that can be effectively managed and controlled using strategies such as self-management education and ongoing support. Virtual environments offer innovative and realistic settings where patients can achieve self-management education and obtain ongoing self-management support from peers and healthcare professionals. Transcribed real-time conversations in an innovative virtual community were analyzed using qualitative and linguistic analysis. These virtual interactions were manually coded to identify embedded behavior change techniques and linguistic features. Results showed 13 behavior change techniques were manifested. Further, language differences were observed between behavior change techniques and social support types. Our research can provide valuable insights into the design of effective digital health interventions that maximize sustained use of virtual environments, subsequently impacting selfmanagement of chronic conditions such as diabetes.","Diabetes, social support, virtual communities, behavior change"
2021,Data Analytics and the Use of Nursing Data,Paper,"Using a Complex Network Methodology to Track, Evaluate, and Transform Fundamental Care",Maria A Pinero De Plaza,"Tiffany Conroy, Alexandra Mudd and Alison Kitson","In this study, we drew on methods originating in complex adaptive systems and social network analysis to develop a novel way to quantify fundamental care. Data were obtained from a public statement from the Australian Royal Commission into Aged Care Quality and Safety. Results support the importance of using a systemic approach to assess the multiple dimensions of the fundamentals of care. Our method allows measurement of the problem within its system, providing a detailed quantification of care events and identifying excellence and improvement opportunities. We illustrate the strengths of this approach using principal component analysis and heat mapping. The application of the proposed methodology in healthcare decision-making, planning, and quality improvement is discussed.","Complex adaptive systems, network, care, Fundamentals of Care Framework"
2021,Data Analytics and the Use of Nursing Data,Poster,A Significance Assessment of Diabetes Diagnostic Biomarkers Using Machine Learning,Ran Cui,"Elena Daskalaki, Md Zakir Hossain, Artem Lenskiy, Christopher J Nolan and Hanna Suominen","Diabetes can be diagnosed by either Fasting Plasma Glucose or Hemoglobin A1c. The aim of our study was to explore the differences between the two criteria through the development of a machine learning based diabetes diagnostic algorithm and analysing the predictive contribution of each input biomarker. Our study concludes that fasting insulin is predictive of diabetes defined by FPG, but not by HbA1c. Besides, 28 other fasting blood biomarkers were not significant predictors of diabetes.","Diabetes biomarkers, machine learning, feature importance"
2021,Data Analytics and the Use of Nursing Data,Poster,A Topic Modeling Analysis of Nursing Handoff Studies,Insook Cho,Eun Man Kim,"This study used topic modeling to analyse key topics of nursing handoff research. Six topics were identified. The findings indicate that future studies should implement the standardization of handoff tools and the use of bedside handoff, and evaluate their effects on patient safety outcomes.","Handoff, Topic modeling, standardization, patient participation, patient safety"
2021,Data Analytics and the Use of Nursing Data,Poster,A Topic Modeling Analysis of the Crisis Response Stage for COVID-19 Pandemic,Kyung-sook Cha,Eun Man Kim,"After the COVID-19 pandemic occurred in South Korea in 2020, medical institutions have dealt with the epidemiological crisis. The institutions’ strategies in response to the crisis were classified into four stages depending on the change of epidemic circumstances. Efficiently responding to the pandemic, close cooperation between the government and medical institutions is essential.","COVID-19, topic modeling, crisis response"
2021,Data Analytics and the Use of Nursing Data,Poster,Bibliometric Analysis of Nursing Informatics Research,Jialin Liu,"Siru Liu, Qingke Shi and Miye Wang","This study aims to provide a bibliometric overview of research at nursing informatics and understand the state in nursing informatics in the last ten years. We used the Web of Science to extract relevant literature published from 2009 to 2018. A total of 455 articles were retrieved and analyzed. The total of the top 5 institutions, countries, journals was discussed. This study will help researchers to understand trends and the situation in nursing informatics research.","Nursing informatics, bibliometric, analysis"
