년도,분류,형태,제목,1저자,공저자,초록,키워드
2018,Patient Participation and Citizen Involvement,Paper,Health Portals for Specific Populations: A Design for Pregnant Women,Janine Sommer,"Mariana Daus, Mariana Simon and Daniel Luna","The technologies and communication advances, contributed to new tools development who allows patient to have an active role in their own health. In the light of paradigms changes and information needs about health, the patient self-manage their care. This line of care focuses in patient, specific portals come up to people with particular requirements like pregnant womens. Thinking in a portal design to this sector of the population, in September 2016 a survey was made to users with the objective to knowing and understanding information needs at the moment to use a pregnant’s app . Also, prototypes of the portal's features was designed to try and validate with users, using the human-centered design methodology. Investigations have made possible the identification of this population’s needs and develop a tool who try to satisfy, providing timely information for each part of pregnancy and allowing the patients to make a physical check and to follow up pregnancy seeking advices from our obstetricians.",Pregnant Women; Health Personal Record; Mobile Applications.
,,Paper,Development and Evaluation of an Online Training System for Home Caregivers,Tang Guanxiu,"Yin Hang, Yang Shuping, Xiao Meili, Yan Pingping, Liu Wei, Lin Wanli and Lei Jun","With the increasing demands of professional rehabilitation training for home caregivers, to develop a mode of training with widespread applicability has been emphasized. In order to improve life quality of the impaired elderly, we developed an online training system for the home caregivers to learn knowledge and skills for caring the elderly. We also assessed the acceptance and acceptance factors of the online training system. The results showed that our training system was well accepted by the participants. The perceived usefulness and perceived ease of use were the dominant factors influencing the acceptance of the online course. Therefore, quality management and easy to use, rapid to capture the system are essential for the users to accept the training courses or health information better. An online training system with professional and standard protocols may be popular and well accepted for home caregivers.",Impaired elderly; Online training; Technology Acceptance Model; Home Caregivers
,,Paper,Design of an Information System for Palliative Care: User Analysis,Veronica A. Alvarez-Tob?n,"Ivan F. Luna-G?mez, Ever A. Torres-Silva, Jose F. Florez-Arango, Paula T. Rivera-Mejia and Andrea Higuita Usuga","To explore the demographic factors and the level of knowledge related to information and communication technologies of potential users of a palliative care information system. The Task, User, Representation, Functionality (TURF) framework was applied to characterize potential users (patients and caregivers) of an information system for palliative care in a private clinic in Medellin, Colombia, through a survey. We analyzed 35 patients and 39 caregivers. The majority were women, that lived in urban area and belonged to middle-income socioeconomic stratum. Caregivers, in contrast to patients, are common users of information and communication technologies. An information system should focus on the needs of caregivers, and it would be targeted to subjects facing challenges related to technology adoption; information and communication technologies are interesting and important tools for the improvement of health team.",Telemedicine; Palliative Care; Information Systems.
,,Paper,Patient Accessible Electronic Health Records: Impacts on Nursing Documentation Practices at a University Hospital,Berglind Fjola Smaradottir,,"In a Norwegian health region, patients have online access to their own electronic health record and they can also read the nursing documentation. This paper presents a qualitative study made at a university hospital to investigate how patient accessible electronic health records impact on nursing documentation practices. Semi-structured interviews were made with 12 informants from 5 cardiology departments at one hospital regarding how they used electronic nursing documentation in their daily practice and how they experienced patient accessible nursing documentation. The nurses emphasized that they focused on a clear and wellwritten nursing documentation, but in some situations, they were hesitant to write sensitive information. The study concluded that the implementation of patients’ reading access to the electronic health record had limited impact on the nursing documentation and the daily practice at the departments, but the nursing handover had an even more important function for oral exchange of information.","Electronic Health Records, Nursing Practice, Nursing Informatics"
,,student paper,Leveraging Aging in Place Through Sensor-Enhanced In-Home Monitoring,Ju Wang,"Jing Wang, Hongyu Miao, Michael Marschollek, Klaus-Hendrik Wolf, Kerry A. Lynch and Yang Gong","Seniors expect to age in place, which means living in their own homes as long as possible with familiar facilities and environments. Due to the capability of continuous and unobtrusive monitoring, the sensor-enhanced in-home monitoring is regarded as a promising solution to support aging in place. In this paper, by reviewing three influential projects in this field of in-home monitoring for aging in place, we present our opinions and suggestions on the development of informatics-supported aging in place for its practical application in healthcare such as diagnosis and nursing in the era of data science. To promote the practical usage of in-home monitoring in aging, we highlight the gap between demands and available approaches. We conclude that in the next stage we should design demand-oriented system, conduct evidencebased research and accelerate interdisciplinary collaboration.","Independent living, aging in place, assisted living facilities."
,,student paper,Use of Distraction to Reduce Pain in Venipunture when a Venoclysis Is Placed,Jessica Juarez Garc?a,"Adriana Jord?n Morales, Lizbeth Garc?a Fern?ndez, Reyna Rosas Negrete, Mario Enrique Rend?n Macias and Sylvia Claudine Ram?rez S?nchez","The use of a venoclysis in hospitalized pediatric patients is a necessity, a procedure perceived by children as painful, so that distraction techniques have been suggested to attenuate this suffering. Evaluating the implementation of a distraction method with an uncontrolled trial with pre and post maneuver evaluation without control group.","Pediatric patients, pain, alternative therapy, Ipad"
,,Poster,Identifying How Patient Portals May Be Effectively Used Among Mental Health Populations to Support Digital Inclusion: A Study Protocol,Gillian Strudwick,Richard Booth and John Strauss,"Patient portals are secure online websites that allow patients access to their medical information from a particular healthcare organization. Currently, it is unknown how this technology can best be used to support patients with mental illness, and what types of indicators of portal adoption are meaningful to these patients. This study addresses this gap in our knowledge by obtaining the perspectives on this topic from patients, family members and Peer Support Workers.","mental health; psychiatry; patient portals, patient engagement"
,,Poster,Development of MyPEEPS Mobile: A Behavioral Health Intervention for Young Men,Rebecca Schnall,"Lisa Kuhns, Marco Hidalgo, Sabina Hirshfield, Cynthia Pearson, Asa Radix, Uri Belkind, Joshua Bruce, D. Scott Batey and Robert Garofalo","The MyPEEPS Mobile intervention is a novel evidence-driven intervention using mobile technology to deliver HIV prevention information. This is the first study to test the efficacy of a scaled-up, mobile version of an existing HIV prevention intervention originally developed, designed, and piloted for, a diverse group of YMSM. We used an iterative design process incorporating feedback from experts and end-users to update the user-interface and content of the MyPEEPS Mobile Intervention.","HIV, adolescents, mobile technology"
,,Poster,What Do Patients and Experts Want in a Smartphone-Based Application to Support Tuberculosis Treatment Completion?,Sarah Iribarren,"George Demiris, Bill Lober and Cristina Chirico",A mobile application to support individuals receiving treatment for active tuberculosis (TB) by self-administration is being developed with TB experts and patients in active TB treatment using agile development methods to meet the needs of endusers.,"mHealth, patient-centered support, global health"
,,Poster,Internet Well-Being in Adolescents: A Concept Analysis,Soojung Jo,Angela Chia-Chen Chen,"This paper aimed to analyze the concept “internet well-being in adolescents” using Walker and Avant’s method. We analyzed concept use, it’s attributes, antecedents, and consequences. We identified three attributes (e.g., self-help), three antecedents (e.g., internet access), and four consequences (e.g., feeling safe on the internet). This concept analysis will help guide developing effective interventions for adolescents.","Concept Analysis, Internet, Adolescent"
