년도,분류,형태,제목,1저자,공저자,초록,키워드
2012,,,A Case Study in Communication Strategies used for Pressure Ulcer Prevention in a Nursing Home with High IT Sophistication,Gregory L. Alexander,Richard Madsen,"Current strategies for improving the care of millions of elderly people living in nursing homes (NH) include the implementation of information technology (IT). Few studies exist about the implementation of NH IT although there is evidence of increasing NH IT sophistication globally. NH IT sophistication includes a measure of the maturity and diversity of IT used to support resident care, clinical support, and administration. The current paper includes a case study of 1 NH known to have high IT sophistication in the Midwestern USA. The NH was purposively selected from 185 NHs taking part in a statewide evaluation of NH IT sophistication in Missouri. This NH reported the highest IT sophistication among 185 NHs. The research aim was to explore communication strategies for evidence based pressure ulcer preventions in NH IT. Focus group and observational data were collected to assess facilitators and barriers to communicating pressure ulcer preventions.",
,,,Outcomes of Nursing Call Centres: A Literature Review,Yaser Y. Alqarrain,Leanne M. Currie,The purpose of this literature review was to examine three common outcomes associated with nursing call centres. We carried out an electronic search with relevant keywords and identified 26 studies. We found that the nursing call centres directed patients to appropriate resources; the patients were adherent with nursing recommendations; and the nursing call centres were able to minimize unnecessary visits to healthcare facilities.,
,,,Exploring a social network for sharing information about pain,Ana Graziela Alvarez,Grace T Marcon Dal Sasso,"The purpose of study was to evaluate the opinion of users about the experience of sharing information about pain in a social network. An electronic survey study was conducted from September to November/2009. Nine participants assessed the social network through of an electronic questionnaire. Results: positive aspects (easy access, organized information, interactivity, encourages the sharing of information, learning opportunity). The sharing of information contributes to the development of a collective intelligence based on exchanging experiences and knowledge sharing.",
,,,Assessment of Knowledge and Level of Satisfaction of Nursing Undergraduates in a Pressure Ulcer Online Course,Juscilynne B. C. Aroldi,Heloisa H. H. Peres,The objective of this study is to identify the effectiveness of two different educational modalities in an online course on pressure ulcers by comparing the degree of knowledge and level of satisfaction of nursing undergraduate students. The result will ground the adoption of Information and Communication Technologies in the teaching process in nursing.,
,,,Observations of Daily Living: Putting the “Personal” in Personal Health Records,Uba Backonja,"Katherine Kim, Gail R. Casper, Timothy Patton, Edmond Ramly, Patricia Flatley Brennan","Keeping individuals aware of their own health is a global challenge in health care. Observations of Daily Living (ODLs), cues to health that are derived from and personally meaningful to an individual, provide a detailed picture of one’s experience of health. Project HealthDesign, an 8-year initiative of the Robert Wood Johnson Foundation, is investigating ODLs and devising innovative ways of tracking them through personal health record deployment in diverse communities and health care settings. Nursing informatics knowledge base and skills, applied to the ODL challenge can accelerate their identification, capture, and interpretation, thus empowering individuals toward meaningful action and facilitating more robust information exchange between individuals and their health care providers.",
,,,Implementing the Clinical Dashboard at VCUHS,Kristine K. Bakos,"Deborah Zimmermann, Dana Moriconi","Medical errors are an enormous problem in the health care industry. With the growing prominence of electronic medical records, new tools are becoming available to reduce the risk of errors. A clinical dashboard is one tool that is being employed in health systems to reduce medical error and improve clinician communication. The aim of this paper is to review how a clinical dashboard tool has been implemented at Virginia Commonwealth University Health System (VCUHS ) with the intention of reducing preventable medical errors.",
,,,Creating Social Media Policies for Education and Practice,Amy J. Barton,Diane J. Skiba,The use of social media in society and healthcare has become pervasive. This paper reviews uses of social media within health care and higher education along with its concomitant risks and benefits. Challenges rooted in the blurring of boundaries between personal and professional experiences provide the rationale for policy development. Guidelines to enhance the use of social media to enhance organizational reputation and patient privacy are proposed.,
,,,Use of Sexual Material Online and At-Risk Sexual Behavior Regarding HIV/AIDS among College Students,Raquel A. Benavides,"Carolina Valdez Montero, V?ctor M. Gonz?lez, Dora Julia Onofre Rodr?guez","Use of sexual material online (USMO) by young people has been connected with at-risk sexual behavior for HIV/AIDS. Media Richness and Social Cognitive theories propose that rich media offer more information with interactive and audible visual content, which could have a significant impact on people’s thinking and behavior. The objective was to determine whether USMO presented by rich media has an influence on at-risk sexual behavior for HIV/AIDS. Two hundred young people participated in the study, and it was found that USMO from rich media is connected to at risk sexual behavior for HIV/AIDS (p<.01). Young people who use rich media for masturbation (F[2,189]=10.169, p<.001), arousal (F[2,189]=4.686, p<.05), stimulation (F[2,189]=8.382, p<.001), and seeking adventures (F[2,189]=6.406, p<.01) were more likely to show at risk sexual behavior for HIV/AIDS. The study also found that young people may experience pleasure from USMO in rich media and feel motivated to model what they observe.",
,,,The Format of Standard Tools for Nursing Handoff: An Integrative Review,Jacquelyn W. Blaz,Nancy Staggers,"Standardization is one proposed solution for more efficient and effective nursing handoffs. The purpose of this review is to describe the format of handoff tools designed for standardizing nursing handoffs within inpatient acute care units. Four formats were identified in the 14 articles meeting inclusion criteria: printed templates, printed spreadsheets, mnemonics, and checklists. Little consistency across tools exists. Further research to compare efficiency and effectiveness of handoffs using different formats in needed.",
,,,Information and communication technology as a tool for improving physical and social activity of the elderly,Helena Bla?un,"Kaija Saranto, Peter Kokol, Janez Vo?ner","Information and communication technologies (ICT) can enrich elderly people’s lives in various ways. The objective of this interventional quasi-experimental research study among elderly people in Slovenia and Finland is to present associations and relations between computer/Internet use, physical activity and social inclusion before and after a ICT interaction. The first study (before interaction) included 58 (M=72,41) and the second study (after interaction) 45 (M=72,96) elderly people. The results showed an increased level of social inclusion and physical activity by the elderly after becoming acquainted with ICT. Additionally, through ICT interaction, the elderly people developed new friendships and so expanded their social networks, which they also found easier to maintain with support from ICT.",
,,,Availability of patient classification using clinical data,MyoungRye. Bong,"KyoungOk. Kim, LeeYoung. Kim, YoungSeon. Jeong, YeongHui. An","The aim of this study is examine the reliability and validity of the patient classification which is based on clinical data with comparing to nurse’s check. Nurse Experts estimated the content validity of extracting KPCS-1(Korea patient classification system for nurses Version 1) activities score from clinical data in storage of AMIS (Asan Medical Center information system). After verifying the content validity of extraction method from clinical data, two methods extracting KPCS-1 score (from clinical data vs. nurses’ recording) were compared for 348 patients. This study demonstrated that extracting patient classification from clinical data is high value of validity (except 4 items excluded from this study), reliability between two methods extracting KPCS-1(from clinical data and nurses’ recording) is high value (ICC=0.96, p<.001) and construct validity of two methods has similarity. It is believed that the patient classification system which is made from only clinical data without nurse’s work burden is available. And 4 items which was excluded on KPCS-1 and examine area which had low level of reliability are needed to be amended.","Patient classification, Clinical data, Hospital information system"
,,,Integrating Experiential Learning into a Double Degree Masters Program in Nursing and Health Informatics,Elizabeth M. Borycki,"Noreen Frisch, Andre W. Kushniruk, Marjorie McIntyre, David Hutchinson","In Canada there are few nurses who have advanced practice competencies in nursing informatics. This is a significant issue for regional health authorities, governments and electronic health record vendors in Canada who are implementing electronic health records. Few Schools of Nursing provide formalized opportunities for nurses to develop informatics competencies. Many of these opportunities take the form of post-baccalaureate certificate programs or individual undergraduate or graduate level courses in nursing. The purpose of this paper will be to: (1) describe the health and human resource issues in this area in Canada, (2) provide a brief overview of the design and development of a new, innovative double degree program at the intersection of nursing and health informatics that interleaves cooperative learning, (3) describe the integration of cooperative learning into this new program, and (4) outline the lessons learned in integrating cooperative education into such a graduate program.",
